Ticket,Open Time,Type,Volume,Item,Inicio,SL,TP,Close Time,Fin,Commission,Taxes,Swap,Profit
23772329,2019.05.08 04:54:45,sell,0.03,nzdusd,0.65987,0.66359,0.64309,2019.05.08 05:03:03,0.65574,0,0,0,12.39
23768105,2019.05.08 01:06:25,buy,0.01,audnzd,1.06294,0,0,2019.05.08 05:06:00,1.06808,0,0,0,3.37
23768118,2019.05.08 01:06:55,sell,0.01,nzdusd,0.65981,0,0,2019.05.08 05:06:05,0.65689,0,0,0,2.92
23795590,2019.05.08 15:27:46,sell,0.02,xauusd,1289.74,0,0,2019.05.08 17:10:00,1284.23,0,0,0,11.02
23793344,2019.05.08 14:24:34,buy,0.01,audusd,0.70039,0,0,2019.05.08 17:12:39,0.70043,0,0,0,0.04
23793288,2019.05.08 14:22:08,buy,0.03,audusd,0.70042,0.69737,0,2019.05.09 03:30:36,0.69734,0,0,0.02,-9.24
23793303,2019.05.08 14:22:41,buy,0.03,audusd,0.7004,0.69737,0,2019.05.09 03:30:36,0.69734,0,0,0.02,-9.18
23793318,2019.05.08 14:23:15,buy,0.03,audusd,0.70042,0.69736,0,2019.05.09 03:30:36,0.69735,0,0,0.02,-9.21
23810864,2019.05.09 00:46:09,buy,0.02,gbpjpy,143.27,0,0,2019.05.09 12:05:10,142.55,0,0,0,-13.13
23795617,2019.05.08 15:28:04,sell,0.02,euraud,1.59853,0,0,2019.05.09 12:05:27,1.60401,0,0,0.14,-7.65
23757917,2019.05.07 19:06:36,sell,0.02,usdchf,1.02153,0,0,2019.05.09 15:23:45,1.01763,0,0,-0.41,7.66
23752690,2019.05.07 16:59:35,sell,0.02,usdchf,1.02079,0,0,2019.05.09 15:23:51,1.01758,0,0,-0.41,6.31
23768138,2019.05.08 01:08:49,sell,0.01,usdchf,1.01922,0,0,2019.05.09 15:24:35,1.01757,0,0,-0.14,1.62
23747960,2019.05.07 15:20:09,sell,0.02,usdcad,1.34661,0,0,2019.05.09 16:20:16,1.34997,0,0,0,-4.98
23832128,2019.05.09 15:25:16,sell,0.02,eurcad,1.50942,0,0,2019.05.09 16:53:12,1.51471,0,0,0,-7.84
23781546,2019.05.08 08:39:09,buy,0.03,eurusd,1.12046,1.11597,0,2019.05.09 17:15:10,1.12404,0,0,-0.38,10.74
23781532,2019.05.08 08:38:08,buy,0.03,eurusd,1.12045,1.11592,0,2019.05.09 17:15:16,1.12408,0,0,-0.38,10.89
23781560,2019.05.08 08:39:51,buy,0.03,eurusd,1.12048,1.11595,0,2019.05.09 17:15:40,1.12395,0,0,-0.38,10.41
23768143,2019.05.08 01:09:59,buy,0.01,eurusd,1.11943,0,0,2019.05.09 17:18:25,1.12406,0,0,-0.13,4.63
23841976,2019.05.09 17:54:32,buy,0.02,gbpjpy,142.669,0,0,2019.05.10 04:45:06,143.048,0,0,0.02,6.89
23818793,2019.05.09 07:00:15,buy,0.03,audusd,0.69786,0.69495,0,2019.05.10 04:45:24,0.701,0,0,0.01,9.42
23818816,2019.05.09 07:00:38,buy,0.03,audusd,0.6978,0.695,0,2019.05.10 04:46:55,0.70084,0,0,0.01,9.12
23818845,2019.05.09 07:01:04,buy,0.03,audusd,0.6977,0.69495,0,2019.05.10 04:48:02,0.70093,0,0,0.01,9.69
23818849,2019.05.09 07:01:26,buy,0.03,audusd,0.6977,0.69495,0,2019.05.10 04:50:19,0.7014,0,0,0.01,11.1
23768141,2019.05.08 01:09:12,sell,0.01,usdcad,1.34669,0,0,2019.05.10 05:09:13,1.34465,0,0,0.01,1.52
